,score,content
104,5,Great app as stand alone or in addition to Garmin Connect
105,5,This is best device ever...information is power...all right here...I am very pleased
106,3,I want to look into buying but see that you don't support the Garmin Decent MK1 watch so can't download the data field. Are there plan to open this up to more watches?
107,5,Excellent representation of swim sets
108,5,Excellent and fabulous app support
109,4,I only wish for Galaxy watch support.
110,5,Nice statistics and information
111,4,I look forward to being able to create custom workouts.
112,5,Works as it should everyday. It's excellent 👌
113,5,By far the best fitness app ever.
114,5,It's a great device and a quality app
115,5,I love it!! The googles and app are a game changer!!
116,5,These goggles are a game changer. I love 💘 them.
117,5,The googles are great for indoor swimming.
118,5,Great product. Great app
119,5,Excellent improve my swimming
120,5,Easy to use. Accurate.
121,5,Best swimming app. Hands down.
122,5,A must have tool for swimmers everywhere.
123,5,Awesome! Love this new toy.
124,5,Great support great product
125,5,best goggles and app ever
126,5,If Apple ever made swimming goggles would be like this.
127,5,Game. Changer. A coach in your eye.
128,5,Best ever I really enjoy it
129,5,"Love my goggles, now swimming is fun"
130,5,This app has changed my swim.
131,5,It's absolutely amazing
132,5,Great for talking to LS
133,5,Would you like to give me a free pair of goggles? ;););)
134,5,Expensive but worth it.
135,5,It's a great app
136,5,Awesome swimming partner
137,5,Love the goggles
138,5,Great
139,5,Love it!
140,5,Excellent
141,5,Awesome
142,5,Excellent
143,5,Awesome technology
144,5,Awesome possum 🏊 👓
145,5,Amazing
146,5,Fitness swimmer
147,5,Saya mimpi Mengintai tirai kamar Amira Kota Kinabalu Pantai Jerudong Specialist Centre
